,ISBN,Image,Link,Name,Publisher_x,Label,Genre,Book-Title,Book-Author,Year-Of-Publication,Publisher_y,Image-URL-S,Image-URL-M,Image-URL-L,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11
2343,094045002X,094045002X.jpg,http://ecx.images-amazon.com/images/I/41%2B9zw4kZQL.jpg,Walt Whitman: Poetry and Prose (Library of America),Walt  Whitman,15,Literature & Fiction,Walt Whitman: Poetry and Prose (Library of America),Walt Whitman,1982,Library of America,http://images.amazon.com/images/P/094045002X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/094045002X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/094045002X.01.LZZZZZZZ.jpg,,,,
2344,393960579,0393960579.jpg,http://ecx.images-amazon.com/images/I/41YWAtplPyL.jpg,The Awakening (Norton Critical Editions),Kate Chopin,15,Literature & Fiction,The Awakening: An Authoritative Text Biographical and Historical Contexts Criticism (A Norton Critical Edition),Kate Chopin,1994,W. W. Norton &amp; Company,http://images.amazon.com/images/P/0393960579.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0393960579.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0393960579.01.LZZZZZZZ.jpg,,,,
2345,486282406,0486282406.jpg,http://ecx.images-amazon.com/images/I/51Qg%2BxpxPOL.jpg,My ÁEntonia (Dover Thrift Editions),Willa Cather,15,Literature & Fiction,My Antonia (Dover Thrift Editions),Willa Cather,1994,Dover Publications,http://images.amazon.com/images/P/0486282406.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0486282406.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0486282406.01.LZZZZZZZ.jpg,,,,
2346,684801450,0684801450.jpg,http://ecx.images-amazon.com/images/I/516G0RSN34L.jpg,Death in the Afternoon,Ernest Hemingway,15,Literature & Fiction,DEATH IN THE AFTERNOON,Ernest Hemingway,1996,Scribner,http://images.amazon.com/images/P/0684801450.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0684801450.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0684801450.01.LZZZZZZZ.jpg,,,,
2347,679761799,0679761799.jpg,http://ecx.images-amazon.com/images/I/715Q7018B4L.gif,Going to Meet the Man: Stories,James Baldwin,15,Literature & Fiction,Going to Meet the Man,James Baldwin,1995,Vintage Books USA,http://images.amazon.com/images/P/0679761799.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0679761799.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0679761799.01.LZZZZZZZ.jpg,,,,
2348,1883011671,1883011671.jpg,http://ecx.images-amazon.com/images/I/41DT2w%2B3DrL.jpg,Red Harvest / The Dain Curse / The Maltese Falcon / The Glass Key / The Thin Man,Dashiell Hammett,15,Literature & Fiction,Dashiell Hammett : Complete Novels : Red Harvest / The Dain Curse / The Maltese Falcon / The Glass Key / The Thin Man (Library of America),Dashiell Hammett,1999,Library of America,http://images.amazon.com/images/P/1883011671.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1883011671.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/1883011671.01.LZZZZZZZ.jpg,,,,
2349,679723412,0679723412.jpg,http://ecx.images-amazon.com/images/I/41nFWmXWD5L.jpg,Pnin,Vladimir Nabokov,15,Literature & Fiction,Pnin (Vintage International),VLADIMIR NABOKOV,1989,Vintage,http://images.amazon.com/images/P/0679723412.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0679723412.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0679723412.01.LZZZZZZZ.jpg,,,,
2350,451147952,0451147952.jpg,http://ecx.images-amazon.com/images/I/41TbEywJ2cL.jpg,Capitalism: The Unknown Ideal,Ayn Rand,15,Literature & Fiction,Capitalism: The Unknown Ideal (Signet Shakespeare),Ayn Rand,1983,Signet Book,http://images.amazon.com/images/P/0451147952.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0451147952.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0451147952.01.LZZZZZZZ.jpg,,,,
2351,1931082073,1931082073.jpg,http://ecx.images-amazon.com/images/I/41s0D32k6dL.jpg,Steinbeck Novels 1942-1952: The Moon Is Down / Cannery Row / The Pearl / East of Eden (Library of America),John Steinbeck,15,Literature & Fiction,"Novels, 1942-1952: The Moon Is Down/Cannery Row/the Pearl/East of Eden (Library of America)",John Steinbeck,2002,Library of America,http://images.amazon.com/images/P/1931082073.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1931082073.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/1931082073.01.LZZZZZZZ.jpg,,,,
2352,679601392,0679601392.jpg,http://ecx.images-amazon.com/images/I/418BwSlqaTL.jpg,Invisible Man (Modern Library 100 Best Novels),,15,Literature & Fiction,Invisible Man (Commemorative Edition),Ralph Ellison,1994,Modern Library,http://images.amazon.com/images/P/0679601392.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0679601392.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0679601392.01.LZZZZZZZ.jpg,,,,
2353,679728171,0679728171.jpg,http://ecx.images-amazon.com/images/I/41mB0kinYUL.jpg,The Ways of White Folks: Stories (Vintage Classics),Langston Hughes,15,Literature & Fiction,The Ways of White Folks (Vintage Classics),Langston Hughes,1990,Vintage Books USA,http://images.amazon.com/images/P/0679728171.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0679728171.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0679728171.01.LZZZZZZZ.jpg,,,,
2354,1853264334,1853264334.jpg,http://ecx.images-amazon.com/images/I/416pxYkhNDL.jpg,Complete Poems of Whitman (Wordsworth Poetry) (Wordsworth Poetry Library),Walt Whitman,15,Literature & Fiction,The Works of Walt Whitman (Wordsworth Collection),Whitman,1998,NTC/Contemporary Publishing Company,http://images.amazon.com/images/P/1853264334.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1853264334.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/1853264334.01.LZZZZZZZ.jpg,,,,
