,Unnamed: 0,ISBN,Image,Link,Name,Genre,Book-Title,Book-Author,Year-Of-Publication,Publisher_y,Image-URL-S,Image-URL-M,Image-URL-L
0,0,967806119,0967806119.jpg,http://ecx.images-amazon.com/images/I/51iV%2BPg2%2BmL.jpg,365 Thoughts : A Daily Guide to Uplift and Inspire (Perpetual Calendar),Calendars,365 Thoughts : A Daily Guide to Uplift and Inspire (Perpetual Calendar),Hugh Prather,2000,R. Brent &amp, Company,http://images.amazon.com/images/P/0967806119.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0967806119.01.MZZZZZZZ.jpg
1,1,1879181487,1879181487.jpg,http://ecx.images-amazon.com/images/I/51ASyQNlB3L.jpg,Maya Cosmogenesis 2012: The True Meaning of the Maya Calendar End-Date,Calendars,Maya Cosmogenesis 2012: The True Meaning of the Maya Calendar End-Date,John Major Jenkins,1998,Bear &amp, Company,http://images.amazon.com/images/P/1879181487.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1879181487.01.MZZZZZZZ.jpg
2,2,761108335,0761108335.jpg,http://ecx.images-amazon.com/images/I/512ZX2WK5TL.jpg,Page-A-Day Perpetual: 365 Days of Folk Wisdom (Page-a-Day Perpetuals),Calendars,365 Days of Folk Wisdom: Plain &amp, Simple Advice for Complicated Times (Page-a-Day Perpetuals),Not Applicable (Na ),1997,Workman Publishing,http://images.amazon.com/images/P/0761108335.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0761108335.01.MZZZZZZZ.jpg
3,3,1563893428,1563893428.jpg,http://ecx.images-amazon.com/images/I/51ep6WWIpFL.jpg,Batman: The Dark Knight Returns,Comics & Graphic Novels,Batman: The Dark Knight Returns (Batman (DC Comics Paperback)),DC Comics,1997,DC Comics,http://images.amazon.com/images/P/1563893428.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1563893428.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/1563893428.01.LZZZZZZZ.jpg
4,4,037571457X,037571457X.jpg,http://ecx.images-amazon.com/images/I/51mASzxex8L.jpg,Persepolis: The Story of a Childhood,Comics & Graphic Novels,Persepolis : The Story of a Childhood,MARJANE SATRAPI,2004,Pantheon,http://images.amazon.com/images/P/037571457X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/037571457X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/037571457X.01.LZZZZZZZ.jpg
5,5,345391802,0345391802.jpg,http://ecx.images-amazon.com/images/I/51BxlBTSLyL.jpg,The Hitchhiker's Guide to the Galaxy,Comics & Graphic Novels,The Hitchhiker's Guide to the Galaxy,Douglas Adams,1995,Ballantine Books,http://images.amazon.com/images/P/0345391802.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0345391802.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0345391802.01.LZZZZZZZ.jpg
6,6,394747232,0394747232.jpg,http://ecx.images-amazon.com/images/I/511P7Afzw8L.jpg,My Father Bleeds History (Maus),Comics & Graphic Novels,Maus a Survivors Tale: My Father Bleeds History,Art Spiegelman,1986,Pantheon Books,http://images.amazon.com/images/P/0394747232.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0394747232.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0394747232.01.LZZZZZZZ.jpg
7,7,006097625X,006097625X.jpg,http://ecx.images-amazon.com/images/I/61KgveZjO7L.jpg,Understanding Comics: The Invisible Art,Comics & Graphic Novels,Understanding Comics,Scott McCloud,1994,Perennial Currents,http://images.amazon.com/images/P/006097625X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/006097625X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/006097625X.01.LZZZZZZZ.jpg
8,8,345404475,0345404475.jpg,http://ecx.images-amazon.com/images/I/51ehNNnPpDL.jpg,Do Androids Dream of Electric Sheep?,Comics & Graphic Novels,Do Androids Dream of Electric Sheep?,Philip K. Dick,1996,Del Rey Books,http://images.amazon.com/images/P/0345404475.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0345404475.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0345404475.01.LZZZZZZZ.jpg
9,9,1569319014,1569319014.jpg,http://ecx.images-amazon.com/images/I/51Ty7mCeo%2BL.jpg,"One Piece, Vol. 1: Romance Dawn",Comics & Graphic Novels,"Romance Dawn (One Piece, Volume 1)",Eiichiro Oda,2003,VIZ LLC,http://images.amazon.com/images/P/1569319014.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1569319014.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/1569319014.01.LZZZZZZZ.jpg
10,10,159116057X,159116057X.jpg,http://ecx.images-amazon.com/images/I/61-KFJpcwFL.jpg,"One Piece, Vol. 2: Buggy the Clown",Comics & Graphic Novels,"Buggy the Clown (One Piece, Volume 2)",Eiichiro Oda,2003,VIZ LLC,http://images.amazon.com/images/P/159116057X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/159116057X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/159116057X.01.LZZZZZZZ.jpg
11,11,1591161843,1591161843.jpg,http://ecx.images-amazon.com/images/I/51aFN59CDzL.jpg,"One Piece, Vol. 3: Don't Get Fooled Again",Comics & Graphic Novels,One Piece (One Piece),Eiichiro Oda,2004,Viz Communications,http://images.amazon.com/images/P/1591161843.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1591161843.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/1591161843.01.LZZZZZZZ.jpg
12,12,151003084,0151003084.jpg,http://ecx.images-amazon.com/images/I/51zDMAwCRCL.jpg,The Gashlycrumb Tinies,Comics & Graphic Novels,The Gashlycrumb Tinies,Edward Gorey,1997,Harcourt,http://images.amazon.com/images/P/0151003084.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0151003084.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0151003084.01.LZZZZZZZ.jpg
13,13,399504338,0399504338.jpg,http://ecx.images-amazon.com/images/I/61kwsfmqJiL.jpg,Amphigorey: Fifteen Books,Comics & Graphic Novels,Amphigorey,Edward Gorey,1980,Perigee Books,http://images.amazon.com/images/P/0399504338.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0399504338.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0399504338.01.LZZZZZZZ.jpg
14,14,679434488,0679434488.jpg,http://ecx.images-amazon.com/images/I/51qzXeKouTL.jpg,The Secret Art of Dr. Seuss,Comics & Graphic Novels,The Secret Art of Dr. Seuss,Theodor Seuss Geisel,1995,Random House,http://images.amazon.com/images/P/0679434488.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0679434488.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0679434488.01.LZZZZZZZ.jpg
15,15,151003130,0151003130.jpg,http://ecx.images-amazon.com/images/I/510TlAzVQeL.jpg,The Doubtful Guest,Comics & Graphic Novels,The Doubtful Guest,Edward Gorey,1998,Harcourt,http://images.amazon.com/images/P/0151003130.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0151003130.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0151003130.01.LZZZZZZZ.jpg
16,16,151007152,0151007152.jpg,http://ecx.images-amazon.com/images/I/51Op4cGrL-L.jpg,Cautionary Tales for Children,Comics & Graphic Novels,Cautionary Tales for Children,Hilaire Belloc,2002,Harcourt,http://images.amazon.com/images/P/0151007152.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0151007152.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0151007152.01.LZZZZZZZ.jpg
17,17,151003149,0151003149.jpg,http://ecx.images-amazon.com/images/I/41bmS7WMpaL.jpg,The Epiplectic Bicycle,Comics & Graphic Novels,The Epiplectic Bicycle,Edward Gorey,1998,Harcourt,http://images.amazon.com/images/P/0151003149.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0151003149.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0151003149.01.LZZZZZZZ.jpg
18,18,151003076,0151003076.jpg,http://ecx.images-amazon.com/images/I/51sRH4pB%2BcL.jpg,The Curious Sofa: A Pornographic Work by Ogdred Weary,Comics & Graphic Novels,The Curious Sofa: A Pornographic Work by Ogdred Weary,Edward Gorey,1997,Harcourt,http://images.amazon.com/images/P/0151003076.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0151003076.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0151003076.01.LZZZZZZZ.jpg
19,19,156056720,0156056720.jpg,http://ecx.images-amazon.com/images/I/61b4D7S-2GL.jpg,Amphigorey Also,Comics & Graphic Novels,Amphigorey Also,Edward Gorey,1993,Harvest Books,http://images.amazon.com/images/P/0156056720.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0156056720.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0156056720.01.LZZZZZZZ.jpg
20,20,151004153,0151004153.jpg,http://ecx.images-amazon.com/images/I/51eF%2BADFZ%2BL.jpg,The Haunted Tea-Cosy: A Dispirited and Distasteful Diversion for Christmas,Comics & Graphic Novels,The Haunted Tea-Cosy: A Dispirited and Distasteful Diversion for Christmas,Edward Gorey,1998,Harcourt,http://images.amazon.com/images/P/0151004153.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0151004153.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0151004153.01.LZZZZZZZ.jpg
21,21,786861584,0786861584.jpg,http://ecx.images-amazon.com/images/I/41Aa6fgPT5L.jpg,The Art of Pocahontas,Comics & Graphic Novels,The Art of Pocahontas,Stephen Rebello,1995,Disney Editions,http://images.amazon.com/images/P/0786861584.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0786861584.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0786861584.01.LZZZZZZZ.jpg
22,22,3822817236,3822817236.jpg,http://ecx.images-amazon.com/images/I/51yNF2uq6cL.jpg,HR Giger (Icons),Comics & Graphic Novels,HR Giger (Icon (Taschen)),H. R. Giger,2002,Taschen,http://images.amazon.com/images/P/3822817236.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/3822817236.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/3822817236.01.LZZZZZZZ.jpg
23,23,151004374,0151004374.jpg,http://ecx.images-amazon.com/images/I/418S9BL%2BRBL.jpg,"The Iron Tonic: Or, A Winter Afternoon in Lonely Valley",Comics & Graphic Novels,"The Iron Tonic: Or, A Winter Afternoon in Lonely Valley",Edward Gorey,2000,Harcourt,http://images.amazon.com/images/P/0151004374.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0151004374.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0151004374.01.LZZZZZZZ.jpg
24,24,385265204,0385265204.jpg,http://ecx.images-amazon.com/images/I/61pYOsj2XAL.jpg,Cartoon History of the Universe Volumes 1-7,Comics & Graphic Novels,The Cartoon History of the Universe/Volumes 1-7 (Cartoon History of the Universe),Larry Gonick,1990,Main Street Books,http://images.amazon.com/images/P/0385265204.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0385265204.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0385265204.01.LZZZZZZZ.jpg
25,25,679406417,0679406417.jpg,http://ecx.images-amazon.com/images/I/51mo2XRqzcL.jpg,"The Complete Maus, 25th Anniversary Edition",Comics & Graphic Novels,Maus: A Survivor's Tale : My Father Bleeds History and Here My Troubles Began,Art Spiegelman,1997,Pantheon Books,http://images.amazon.com/images/P/0679406417.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0679406417.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0679406417.01.LZZZZZZZ.jpg
26,26,393324036,0393324036.jpg,http://ecx.images-amazon.com/images/I/619vOhtjgeL.jpg,The Cartoon History of the Universe III: From the Rise of Arabia to the Renaissance (Cartoon History of the Modern World),Comics & Graphic Novels,The Cartoon History of the Universe III: From the Rise of Arabia to the Renaissance,Larry Gonick,2002,W. W. Norton &amp, Company,http://images.amazon.com/images/P/0393324036.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0393324036.01.MZZZZZZZ.jpg
27,27,385420935,0385420935.jpg,http://ecx.images-amazon.com/images/I/61l3I0-s8yL.jpg,"The Cartoon History of the Universe II, Volumes 8-13: From the Springtime of China to the Fall of Rome (Pt.2)",Comics & Graphic Novels,Cartoon History of the Universe 2,Larry Gonick,1994,Main Street Books,http://images.amazon.com/images/P/0385420935.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0385420935.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0385420935.01.LZZZZZZZ.jpg
28,28,156097432X,156097432X.jpg,http://ecx.images-amazon.com/images/I/51fxp5VLdWL.jpg,Palestine,Comics & Graphic Novels,Palestine,Joe Sacco,2002,Fantagraphics Books,http://images.amazon.com/images/P/156097432X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/156097432X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/156097432X.01.LZZZZZZZ.jpg
29,29,836218310,0836218310.jpg,http://ecx.images-amazon.com/images/I/51BpeuxPnBL.jpg,The Far Side Gallery 3,Comics & Graphic Novels,Far Side Gallery 3 Paperback,Gary Larson,1988,Andrews McMeel Publishing,http://images.amazon.com/images/P/0836218310.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0836218310.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0836218310.01.LZZZZZZZ.jpg
30,30,1560974702,1560974702.jpg,http://ecx.images-amazon.com/images/I/51vBdBGSxEL.jpg,Safe Area Gorazde: The War in Eastern Bosnia 1992-1995,Comics & Graphic Novels,Safe Area Gorazde: The War in Eastern Bosnia 1992-1995,Joe Sacco,2002,Fantagraphics Books,http://images.amazon.com/images/P/1560974702.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1560974702.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/1560974702.01.LZZZZZZZ.jpg
31,31,014038572X,014038572X.jpg,http://ecx.images-amazon.com/images/I/41adS-MmiAL.jpg,The Outsiders,Comics & Graphic Novels,The Outsiders (Now in Speak!),S. E. Hinton,1997,Puffin Books,http://images.amazon.com/images/P/014038572X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/014038572X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/014038572X.01.LZZZZZZZ.jpg
